"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2005","verify to proceed","","Mon Oct 28 12:19:41 IST 2024","passed","Mon Oct 28 12:19:43 IST 2024","","Open the browser and perform actions","",""
"","2096","verify proceed to book button is clickable","","Fri Nov 22 10:35:16 IST 2024","passed","Fri Nov 22 10:35:19 IST 2024","","Open the browser and perform actions","",""
"","2022","verify user enter there name","","Fri Nov 22 10:34:19 IST 2024","passed","Fri Nov 22 10:34:21 IST 2024","","Open the browser and perform actions","",""
"","2737","verify the tour plan ","","Wed Oct 23 17:03:50 IST 2024","broken","Wed Oct 23 17:03:53 IST 2024","","Open the browser and perform actions","",""
"","8118","verify to select the dropdown option","","Tue Oct 29 14:34:35 IST 2024","passed","Tue Oct 29 14:34:43 IST 2024","","Open the browser and perform actions","",""
"","2005","verify to check box","","Mon Oct 28 12:19:39 IST 2024","passed","Mon Oct 28 12:19:41 IST 2024","","Open the browser and perform actions","",""
"","12469","should login with valid credentials","","Mon Oct 21 20:29:54 IST 2024","failed","Mon Oct 21 20:30:06 IST 2024","","My Login application","",""
"","1464","verify user Location","","Fri Nov 22 10:35:25 IST 2024","passed","Fri Nov 22 10:35:26 IST 2024","","Open the browser and perform actions","",""
"","2010","verify the checkbox is on or off","","Wed Oct 23 12:09:05 IST 2024","passed","Wed Oct 23 12:09:07 IST 2024","","Open the browser and perform actions","",""
"","5199","verify the terms and condition is clickable","","Fri Nov 22 10:36:33 IST 2024","passed","Fri Nov 22 10:36:39 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","10293","verify Freuestly asked Question taps","","Fri Nov 22 10:34:59 IST 2024","passed","Fri Nov 22 10:35:09 IST 2024","","Open the browser and perform actions","",""
"","6445","verify the individual tournament Enquire is clickable","","Tue Oct 29 18:25:37 IST 2024","failed","Tue Oct 29 18:25:44 IST 2024","","Open the browser and perform actions","",""
"","55","verify user enters their name","","Tue Oct 29 13:54:08 IST 2024","passed","Tue Oct 29 13:54:08 IST 2024","","Open the browser and perform actions","",""
"","2008","verify user enter there phone number","","Mon Oct 28 12:19:35 IST 2024","passed","Mon Oct 28 12:19:37 IST 2024","","Open the browser and perform actions","",""
"","2005","verify user enter there name","","Mon Oct 28 12:19:31 IST 2024","passed","Mon Oct 28 12:19:33 IST 2024","","Open the browser and perform actions","",""
"","20008","verify the imager crowser is clickable","","Tue Oct 22 16:20:03 IST 2024","passed","Tue Oct 22 16:20:23 IST 2024","","Open the browser and perform actions","",""
"","1099","verify user enters referral code","","Fri Nov 22 10:35:24 IST 2024","passed","Fri Nov 22 10:35:25 IST 2024","","Open the browser and perform actions","",""
"","1104","verify user enters their name","","Fri Nov 22 10:35:19 IST 2024","passed","Fri Nov 22 10:35:20 IST 2024","","Open the browser and perform actions","",""
"","1229","verify proceed button is clickable","","Tue Oct 29 13:54:11 IST 2024","failed","Tue Oct 29 13:54:12 IST 2024","","Open the browser and perform actions","",""
"","1136","verify user enters their email","","Tue Oct 29 13:54:08 IST 2024","passed","Tue Oct 29 13:54:09 IST 2024","","Open the browser and perform actions","",""
"","3045","Gets the URL and opens the browser","","Fri Nov 22 10:35:34 IST 2024","passed","Fri Nov 22 10:35:37 IST 2024","","Open the browser and perform actions","",""
"","2011","verify user enter there phone number","","Mon Nov 18 15:44:51 IST 2024","passed","Mon Nov 18 15:44:53 IST 2024","","Open the browser and perform actions","",""
"","2006","verity the tour for 2 person","","Mon Oct 28 12:19:23 IST 2024","passed","Mon Oct 28 12:19:25 IST 2024","","Open the browser and perform actions","",""
"","10185","verify additional service is added","","Tue Oct 29 12:49:33 IST 2024","broken","Tue Oct 29 12:49:43 IST 2024","","Open the browser and perform actions","",""
"","108","verify user enters their phone number","","Tue Oct 29 13:54:09 IST 2024","passed","Tue Oct 29 13:54:09 IST 2024","","Open the browser and perform actions","",""
"","10","Verify Enquire button is clickable","","Tue Oct 22 10:30:12 IST 2024","broken","Tue Oct 22 10:30:12 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
"","2021","verify the individual tournament Enquire in clickable","","Mon Oct 28 12:19:21 IST 2024","passed","Mon Oct 28 12:19:23 IST 2024","","Open the browser and perform actions","",""
"","10192","Verify Linkedin button is clickable","","Fri Nov 22 10:35:48 IST 2024","passed","Fri Nov 22 10:35:58 IST 2024","","Open the browser and perform actions: Verify the nav buttons are clickable","",""
